Store,Dept,Date,IsHoliday,Weekly_Pred
1,1,2011-03-04,False,18642.07134577874
1,1,2011-03-11,False,17981.043368721475
1,1,2011-03-18,False,18584.39550000366
1,1,2011-03-25,False,21032.78385410756
1,1,2011-04-01,False,54343.52745506128
1,1,2011-04-08,False,42504.03581552615
1,1,2011-04-15,False,14119.536086361499
1,1,2011-04-22,False,13253.299881257863
1,1,2011-04-29,False,13978.53151001742
1,2,2011-03-04,False,48966.03787614322
1,2,2011-03-11,False,45579.428950273636
1,2,2011-03-18,False,44768.80820791885
1,2,2011-03-25,False,43358.63540710907
1,2,2011-04-01,False,47154.75701580509
1,2,2011-04-08,False,45454.35252763519
1,2,2011-04-15,False,47349.9664941271
1,2,2011-04-22,False,45831.396341199776
1,2,2011-04-29,False,45893.05854777234
1,3,2011-03-04,False,10388.503776856578
1,3,2011-03-11,False,9808.063278225309
1,3,2011-03-18,False,8862.404966007882
1,3,2011-03-25,False,9183.434105264223
1,3,2011-04-01,False,9347.234651240607
1,3,2011-04-08,False,9260.78301935317
1,3,2011-04-15,False,9467.168909309172
1,3,2011-04-22,False,9900.768728507617
1,3,2011-04-29,False,8812.531240335637
1,4,2011-03-04,False,38172.57054235861
1,4,2011-03-11,False,32724.64562310847
1,4,2011-03-18,False,33610.986836338154
1,4,2011-03-25,False,31918.25860661745
1,4,2011-04-01,False,37118.34471870467
1,4,2011-04-08,False,35283.05940639145
1,4,2011-04-15,False,34144.0185169569
1,4,2011-04-22,False,33814.891734176716
1,4,2011-04-29,False,33727.64600269049
1,5,2011-03-04,False,27891.336183219297
1,5,2011-03-11,False,27990.183617884915
1,5,2011-03-18,False,28529.059654138404
1,5,2011-03-25,False,41143.12202935655
1,5,2011-04-01,False,33044.58127188552
1,5,2011-04-08,False,25173.491283137515
1,5,2011-04-15,False,18859.265889531478
1,5,2011-04-22,False,27646.127268161858
1,5,2011-04-29,False,24598.385107333732
1,6,2011-03-04,False,3152.0305534831327
1,6,2011-03-11,False,3131.473608561134
1,6,2011-03-18,False,2594.29328301356
1,6,2011-03-25,False,3530.1877637330417
1,6,2011-04-01,False,2682.518367305915
1,6,2011-04-08,False,2775.606719558554
1,6,2011-04-15,False,2981.660468828629
1,6,2011-04-22,False,2608.259235205938
1,6,2011-04-29,False,2415.666555304471
1,7,2011-03-04,False,19306.366804859405
1,7,2011-03-11,False,20577.282213937444
1,7,2011-03-18,False,24356.876583549652
1,7,2011-03-25,False,16128.604994031972
1,7,2011-04-01,False,21986.324062477033
1,7,2011-04-08,False,20627.252384682615
1,7,2011-04-15,False,19447.412977288855
1,7,2011-04-22,False,18069.464483095464
1,7,2011-04-29,False,20104.092934981
1,8,2011-03-04,False,37652.77951712122
1,8,2011-03-11,False,33625.971144708325
1,8,2011-03-18,False,33201.40094393686
1,8,2011-03-25,False,31973.336830259257
1,8,2011-04-01,False,35627.51634441714
1,8,2011-04-08,False,32080.29936915781
1,8,2011-04-15,False,32340.191127496488
1,8,2011-04-22,False,32868.28582255167
1,8,2011-04-29,False,33739.83569129438
1,9,2011-03-04,False,24835.33763725986
1,9,2011-03-11,False,26611.43034526187
1,9,2011-03-18,False,37175.8958486731
1,9,2011-03-25,False,26386.978008195834
1,9,2011-04-01,False,30495.2243130573
1,9,2011-04-08,False,28768.574127129763
1,9,2011-04-15,False,27127.883067307714
1,9,2011-04-22,False,26848.620515732302
1,9,2011-04-29,False,29804.24205103442
1,10,2011-03-04,False,32628.37941065535
1,10,2011-03-11,False,31684.00703305385
1,10,2011-03-18,False,33170.00503864437
1,10,2011-03-25,False,28896.03462749401
1,10,2011-04-01,False,32261.843355493453
1,10,2011-04-08,False,31160.32688841438
1,10,2011-04-15,False,30985.211607994825
1,10,2011-04-22,False,28594.633986487832
1,10,2011-04-29,False,29582.825542696002
1,11,2011-03-04,False,20378.580346329036
1,11,2011-03-11,False,20029.1506227398
1,11,2011-03-18,False,20237.215289898162
1,11,2011-03-25,False,18394.520932232525
1,11,2011-04-01,False,22108.586328986938
1,11,2011-04-08,False,23699.889201731545
1,11,2011-04-15,False,21031.487686697183
1,11,2011-04-22,False,18432.338239501325
1,11,2011-04-29,False,21414.221323145382
1,12,2011-03-04,False,10981.206649677324
1,12,2011-03-11,False,12410.969473502975
1,12,2011-03-18,False,13978.44887658112
1,12,2011-03-25,False,11769.681539241745
1,12,2011-04-01,False,12887.463659576144
1,12,2011-04-08,False,11185.627051667754
1,12,2011-04-15,False,11866.336742724223
1,12,2011-04-22,False,12241.848287026529
1,12,2011-04-29,False,11357.975552439235
1,13,2011-03-04,False,41740.182189305895
1,13,2011-03-11,False,35760.82264266232
1,13,2011-03-18,False,36522.21432527717
1,13,2011-03-25,False,34953.03975103979
1,13,2011-04-01,False,38673.95545407442
1,13,2011-04-08,False,36506.28971567738
1,13,2011-04-15,False,37515.83280368006
1,13,2011-04-22,False,37621.20948373088
1,13,2011-04-29,False,36368.74401523494
1,14,2011-03-04,False,17490.842068260572
1,14,2011-03-11,False,13310.440827542709
1,14,2011-03-18,False,13208.887138197824
1,14,2011-03-25,False,10586.400495405933
1,14,2011-04-01,False,12764.005377433048
1,14,2011-04-08,False,12687.556842710794
1,14,2011-04-15,False,11191.765882725504
1,14,2011-04-22,False,11120.524370580375
1,14,2011-04-29,False,10312.70994198272
1,16,2011-03-04,False,21083.122987461065
1,16,2011-03-11,False,27108.46135995901
1,16,2011-03-18,False,42314.62783082244
1,16,2011-03-25,False,29733.175239678138
1,16,2011-04-01,False,47251.045938016294
1,16,2011-04-08,False,54087.473625117185
1,16,2011-04-15,False,59022.51578345358
1,16,2011-04-22,False,53736.07284108806
1,16,2011-04-29,False,53681.75942847053
1,17,2011-03-04,False,10908.165522683685
1,17,2011-03-11,False,10551.16683656749
1,17,2011-03-18,False,9534.429222340916
1,17,2011-03-25,False,8446.62790542225
1,17,2011-04-01,False,8136.193039175427
1,17,2011-04-08,False,7339.149295915464
1,17,2011-04-15,False,6859.273938762725
1,17,2011-04-22,False,7032.233248526537
1,17,2011-04-29,False,6961.868360873432
1,18,2011-03-04,False,53.95871516570787
1,18,2011-03-11,False,1120.356950720582
1,18,2011-03-18,False,1956.9758129560105
1,18,2011-03-25,False,3397.532052216128
1,18,2011-04-01,False,16713.10158017565
1,18,2011-04-08,False,8800.642932391007
1,18,2011-04-15,False,91.11746991643668
1,18,2011-04-22,False,0.0
1,18,2011-04-29,False,0.0
1,19,2011-03-04,False,1610.0143396160165
1,19,2011-03-11,False,1636.0438677698853
1,19,2011-03-18,False,1616.8402902430955
1,19,2011-03-25,False,1556.920918025777
1,19,2011-04-01,False,1486.294100856329
1,19,2011-04-08,False,1515.5429784068533
1,19,2011-04-15,False,1419.6045833833869
1,19,2011-04-22,False,1305.4773268019885
1,19,2011-04-29,False,1332.2376254931664
1,20,2011-03-04,False,3737.4968423837686
1,20,2011-03-11,False,3939.8072142537653
1,20,2011-03-18,False,3704.414248414397
1,20,2011-03-25,False,3589.113016493229
1,20,2011-04-01,False,3619.2276147517628
1,20,2011-04-08,False,2658.457315060878
1,20,2011-04-15,False,2755.1358142174286
1,20,2011-04-22,False,2891.369742913014
1,20,2011-04-29,False,3072.823495954456
1,21,2011-03-04,False,7761.033676381311
1,21,2011-03-11,False,7048.969313092535
1,21,2011-03-18,False,7207.968780672802
1,21,2011-03-25,False,6520.65071286291
1,21,2011-04-01,False,7117.627801642624
1,21,2011-04-08,False,6812.639193708004
1,21,2011-04-15,False,6424.3431885879345
1,21,2011-04-22,False,6419.229744142727
1,21,2011-04-29,False,6653.822399640209
1,22,2011-03-04,False,10500.996830109269
1,22,2011-03-11,False,9514.200905850703
1,22,2011-03-18,False,8450.573136377565
1,22,2011-03-25,False,6722.675225913653
1,22,2011-04-01,False,7240.890924342684
1,22,2011-04-08,False,6788.153998386592
1,22,2011-04-15,False,6520.464110438593
1,22,2011-04-22,False,6298.977485654792
1,22,2011-04-29,False,5835.320771717386
1,23,2011-03-04,False,19643.393333493867
1,23,2011-03-11,False,18017.096741308447
1,23,2011-03-18,False,19944.753197062393
1,23,2011-03-25,False,17036.14632213375
1,23,2011-04-01,False,19507.730086118965
1,23,2011-04-08,False,20669.082138621747
1,23,2011-04-15,False,18424.12694160627
1,23,2011-04-22,False,18943.865016328018
1,23,2011-04-29,False,19356.261270397317
1,24,2011-03-04,False,6277.801243004806
1,24,2011-03-11,False,5616.337805405088
1,24,2011-03-18,False,5432.925374362384
1,24,2011-03-25,False,4066.1899700000326
1,24,2011-04-01,False,6477.022141530271
1,24,2011-04-08,False,5780.270406446215
1,24,2011-04-15,False,4794.399970613589
1,24,2011-04-22,False,4608.268540182695
1,24,2011-04-29,False,4689.202234558476
1,25,2011-03-04,False,9079.680861713134
1,25,2011-03-11,False,9128.77476439129
1,25,2011-03-18,False,10572.179622126572
1,25,2011-03-25,False,10012.472533074253
1,25,2011-04-01,False,12470.737225641376
1,25,2011-04-08,False,12608.744106042906
1,25,2011-04-15,False,9911.225876440272
1,25,2011-04-22,False,10085.261223422931
1,25,2011-04-29,False,9629.751973893839
1,26,2011-03-04,False,7605.217953476828
1,26,2011-03-11,False,6679.5937385415855
1,26,2011-03-18,False,7138.827647076116
1,26,2011-03-25,False,6074.411756805333
1,26,2011-04-01,False,8307.35625327642
1,26,2011-04-08,False,7305.078223640633
1,26,2011-04-15,False,6793.699774056141
1,26,2011-04-22,False,5968.76797603689
1,26,2011-04-29,False,6251.158638340899
1,27,2011-03-04,False,1358.7638544463493
1,27,2011-03-11,False,1123.3538668829638
1,27,2011-03-18,False,995.1171605977454
1,27,2011-03-25,False,925.0331785769644
1,27,2011-04-01,False,789.988682758487
1,27,2011-04-08,False,736.6618498297341
1,27,2011-04-15,False,762.7359267195358
1,27,2011-04-22,False,706.8685922292724
1,27,2011-04-29,False,611.9951204451444
1,28,2011-03-04,False,687.0508581663668
1,28,2011-03-11,False,649.6641242991225
1,28,2011-03-18,False,548.0168085954554
1,28,2011-03-25,False,462.65131271903186
1,28,2011-04-01,False,673.0622530884233
1,28,2011-04-08,False,751.4578897520472
1,28,2011-04-15,False,343.0406939298881
1,28,2011-04-22,False,385.43934931604934
1,28,2011-04-29,False,406.3959103834057
1,29,2011-03-04,False,4954.577443950968
1,29,2011-03-11,False,4096.186619910671
1,29,2011-03-18,False,4263.003222639129
1,29,2011-03-25,False,3262.8971901918803
1,29,2011-04-01,False,3531.75266799122
