feature,coefficient,importance,relative_importance
Store_14 Dept_92,103053.59877070152,103053.59877070152,0.004549768824234387
Store_10 Dept_72,93531.7970352274,93531.7970352274,0.004129385672133176
Store_2 Dept_92,78357.05806898899,78357.05806898899,0.003459427950248018
Store_3 Dept_38,74483.06988779678,74483.06988779678,0.003288393159978745
Store_14 Dept_95,72151.522768344,72151.522768344,0.003185456430714947
Store_20 Dept_92,71603.55927153716,71603.55927153716,0.003161264095228076
Store_20 Dept_95,69474.64905849552,69474.64905849552,0.003067273691860961
Store_27 Dept_92,67920.06118332717,67920.06118332717,0.0029986393546486186
Store_13 Dept_92,66403.86266794993,66403.86266794993,0.002931699889953524
Store_4 Dept_92,63944.084861301875,63944.084861301875,0.0028231018350313246
Store_2 Dept_95,63461.86177495773,63461.86177495773,0.0028018119083257427
Dept_92,57749.11460802828,57749.11460802828,0.0025495967574636997
Store_10 Dept_2,57522.46251742063,57522.46251742063,0.0025395901722682743
Store_3 Dept_92,-56088.64507543848,56088.64507543848,0.0024762877939429034
Store_4 Dept_95,54182.84198387595,54182.84198387595,0.0023921474670202704
Dept_95,53987.95534093187,53987.95534093187,0.0023835433116787415
Store_5 Dept_92,-53959.96146886555,53959.96146886555,0.0023823073951467983
Store_9 Dept_92,-53090.39651725839,53090.39651725839,0.002343916503856606
Store_14 Dept_90,53075.82934624417,53075.82934624417,0.0023432733699793964
Store_13 Dept_90,51890.728768967325,51890.728768967325,0.0022909517264424867
Store_1 Dept_92,51819.07061768681,51819.07061768681,0.0022877880521352577
Store_14 Dept_91,51283.955960660176,51283.955960660176,0.0022641629869946615
Store_13 Dept_95,49917.42727510017,49917.42727510017,0.0022038313762100946
Store_21 Dept_92,-48779.05414209275,48779.05414209275,0.002153572727771941
Store_15 Dept_92,-48155.95590223437,48155.95590223437,0.0021260632280556734
Store_12 Dept_92,-48072.33602617815,48072.33602617815,0.002122371449120195
Store_16 Dept_92,-46981.7990761403,46981.7990761403,0.0020742247460827025
Store_35 Dept_72,46716.784209605124,46716.784209605124,0.0020625244620353375
Store_31 Dept_92,45845.229861554195,45845.229861554195,0.002024045739810303
Dept_38,45744.19750076823,45744.19750076823,0.0020195852077102487
Store_43 Dept_72,-45605.34831918224,45605.34831918224,0.0020134550804251643
Store_10 Dept_8,45519.722996299126,45519.722996299126,0.002009674761937836
Store_10 Dept_40,45419.92451378263,45419.92451378263,0.0020052687049939176
Store_27 Dept_95,45358.24150452883,45358.24150452883,0.0020025454286034215
Store_3 Dept_95,-45215.06512722263,45215.06512722263,0.001996224257624386
Store_27 Dept_90,45168.48975494574,45168.48975494574,0.001994167976433915
Store_26 Dept_38,44747.91269133456,44747.91269133456,0.0019755996931810045
Store_37 Dept_72,-44226.73849930718,44226.73849930718,0.001952590093136296
Store_30 Dept_72,-43149.01760638188,43149.01760638188,0.0019050092131054313
Store_24 Dept_92,42911.67166431148,42911.67166431148,0.0018945304993033718
Store_1 Dept_95,41465.24445606875,41465.24445606875,0.00183067140561728
Store_10 Dept_90,-41223.17323792654,41223.17323792654,0.0018199840730574685
Store_38 Dept_72,-41003.07543973564,41003.07543973564,0.0018102668568472933
Store_29 Dept_92,-40909.15636550001,40909.15636550001,0.001806120373065499
Store_7 Dept_92,-40510.91806518496,40510.91806518496,0.0017885383359022842
Store_2 Dept_90,40270.843555708954,40270.843555708954,0.0017779391571085608
Dept_72,39638.96083483292,39638.96083483292,0.001750041826609594
Store_44 Dept_72,-39575.380766133036,39575.380766133036,0.0017472347959200877
Store_5 Dept_95,-39436.59804095467,39436.59804095467,0.001741107602654729
Store_36 Dept_94,38203.84185882122,38203.84185882122,0.0016866819861575055
Store_10 Dept_94,-36667.09442521129,36667.09442521129,0.001618835296206213
Store_10 Dept_93,-36621.83850780489,36621.83850780489,0.0016168372683393172
Store_33 Dept_38,-36347.002551754915,36347.002551754915,0.0016047033877225217
Store_14 Dept_72,35980.32603617445,35980.32603617445,0.001588514788788884
Store_16 Dept_95,-35976.342233505304,35976.342233505304,0.0015883389057396535
Store_9 Dept_95,-35649.44796363619,35649.44796363619,0.0015739066745937946
Store_19 Dept_92,35642.70275956462,35642.70275956462,0.0015736088769470944
Store_2 Dept_91,35603.839224793745,35603.839224793745,0.0015718930698233322
Store_20 Dept_90,35342.808287545435,35342.808287545435,0.001560368674415312
Store_20 Dept_72,35057.149076007714,35057.149076007714,0.0015477569520639018
Store_15 Dept_95,-34867.9855859075,34867.9855859075,0.0015394054712790698
