Feature,Coefficient
num__Year2,98.56745126731062
cat__WeekOfYear_1,-1029.6873040341904
cat__WeekOfYear_2,-1747.5231138917302
cat__WeekOfYear_3,-1740.2194550941924
cat__WeekOfYear_4,-2243.4714491646073
cat__WeekOfYear_5,85.42542153241017
cat__WeekOfYear_6,-5.334311915941532
cat__WeekOfYear_7,651.9425370257562
cat__WeekOfYear_8,-651.5222765394383
cat__WeekOfYear_9,45.00830703729595
cat__WeekOfYear_10,-187.6749296734659
cat__WeekOfYear_11,-279.9336261375009
cat__WeekOfYear_12,-798.8589597368938
cat__WeekOfYear_13,-83.65131056486285
cat__WeekOfYear_14,651.5798068127333
cat__WeekOfYear_15,-295.89025943726466
cat__WeekOfYear_16,-178.38723902859834
cat__WeekOfYear_17,-915.0720879153032
cat__WeekOfYear_18,270.17416094697415
cat__WeekOfYear_19,-243.78906234347966
cat__WeekOfYear_20,-400.2625317249431
cat__WeekOfYear_21,60.23416419408913
cat__WeekOfYear_22,624.9425559137042
cat__WeekOfYear_23,412.2359612510921
cat__WeekOfYear_24,251.65832056732745
cat__WeekOfYear_25,-64.9669166542271
cat__WeekOfYear_26,179.46432939922505
cat__WeekOfYear_27,553.8029444997562
cat__WeekOfYear_28,-276.3848373341044
cat__WeekOfYear_29,-397.5412167919873
cat__WeekOfYear_30,-778.2050463390483
cat__WeekOfYear_31,342.94166059168623
cat__WeekOfYear_32,-41.393582677750665
cat__WeekOfYear_33,112.36216937528138
cat__WeekOfYear_34,26.591256998966433
cat__WeekOfYear_35,-42.71636745753832
cat__WeekOfYear_36,-655.972743141785
cat__WeekOfYear_37,-977.4211544158771
cat__WeekOfYear_38,-1424.4027093886639
cat__WeekOfYear_39,-1327.7784553434108
cat__WeekOfYear_40,-191.74163439159054
cat__WeekOfYear_41,-915.89545995446
cat__WeekOfYear_42,-670.4073776284292
cat__WeekOfYear_43,-618.5436313100035
cat__WeekOfYear_44,145.2383234145349
cat__WeekOfYear_45,160.94557197525003
cat__WeekOfYear_46,-330.3871193352793
cat__WeekOfYear_47,5214.295431035434
cat__WeekOfYear_48,746.4844055556864
cat__WeekOfYear_49,2525.2886216903275
cat__WeekOfYear_50,4152.668982923147
cat__WeekOfYear_51,9327.940627543134
cat__WeekOfYear_52,-1597.0139369591095
cat__IsHoliday_False,2473.201034772167
cat__IsHoliday_True,2955.974438297988
cat__Dept_1,5818.002577178428
cat__Dept_2,28871.5049731887
cat__Dept_3,-1771.1407943062845
cat__Dept_4,12009.452268137617
cat__Dept_5,8342.930226491397
cat__Dept_6,-8528.56904346333
cat__Dept_7,11586.42164337864
cat__Dept_8,16036.8276475536
cat__Dept_9,5744.5128569294975
cat__Dept_10,4622.714032624442
cat__Dept_11,1068.9128736233051
cat__Dept_12,-9010.856842742909
cat__Dept_13,16396.842353381846
cat__Dept_14,1766.687896915684
cat__Dept_16,-94.9033564966142
cat__Dept_17,-3055.6776209374552
