Feature,Weight
it,0.208205406572289
movie,-0.14676947059366005
For,-0.10495921317743628
not,-0.10402425099661229
and,0.0913271300620607
title,-0.08489381651250796
sinister,-0.08242699027543784
but,0.08158654081507885
this,-0.07039225996096188
kill,-0.07031267113916732
make,-0.06554081275056084
wants,-0.06418404721563613
t,-0.06320827915135502
wacky,-0.06241487015127683
great,0.061359419972991054
to,-0.06087655900885911
well,0.058339172180065374
me,0.055126156936491914
funny,-0.0550728234629491
br,-0.05488017775326692
literally,-0.05485170827984108
things,-0.05188212855126262
random,-0.0512719655922789
makes,0.05039919180483084
scenes,-0.04973170142862833
although,0.04559544882930894
Vito,-0.04537102145620731
basically,-0.03943197461024297
should,0.03739757029587893
seem,-0.03131342378875165
