Word,Average_Impact
there,0.00011093137184500922
this,0.00014182429993097218
one,0.00012299536316984
point,0.00018760944206979682
where,0.0002971003033987703
slater,1.535212605081188e-05
and,7.653766534328789e-05
reid,0.00010433877012657779
are,-1.6262867661859892e-06
looking,-1.2344886499299593e-05
around,0.00019939742367652822
a,8.011414238189837e-05
building,0.00030241833400108654
that,0.0001009053884661174
been,8.972549000575917e-05
destroyed,0.00011195334616324881
the,7.0909175620572e-05
screen,-1.3225529775312442e-05
blackens,0.00010949209632365065
out,0.00022472559535986804
br,1.6848430696340394e-05
as,0.0
for,0.00018085048943711687
story,0.0
i,9.028580394893216e-05
remember,0.0003954844408429637
reading,0.0003267156246981145
all,0.00035162850314881925
horrible,9.018578353502905e-05
reviews,0.00036096634351393973
film,3.6650275104602974e-05
when,0.00029355192254446576
it,0.00019216662081258495
came,0.00042005711894120394
only,0.00021765295458431143
other,0.0003593474437306459
movie,0.00011727450066303972
to,0.00011573181711410988
manage,0.00037247820320424237
is,2.5981970621362764e-05
gigli,0.00022629270461751945
at,3.417312181550347e-05
team,0.0
breaks,0.0
through,0.0
glass,0.0
but,0.00010324699064375708
before,0.0
they,0.0
touch,0.0
mexican,-0.0003420706900896541
song,-0.00043226896594719954
or,-0.00034321856746678564
something,-0.0002479128670300027
during,-0.0006052891423885023
scene,-7.425530601070999e-05
of,0.00010665274882511836
dry,-0.0003512791518214538
humping,-0.00022220447201223053
meant,0.0003182975588728881
go,0.00037008086130268126
see,0.0001427161187056616
how,0.00027159243438716846
was,0.00022400912908117509
theaters,0.0003981698402428796
in,0.0001592406780834945
three,0.0002822302214576608
weeks,0.00017884877884513358
starts,-7.659273505797041e-05
off,4.390926808424327e-05
with,-2.976915150671427e-05
very,3.2065241076061457e-06
long,0.0001434517202104991
narration,0.00016055648758694043
causes,9.919152691123953e-05
immediate,0.00018108945136113803
confusion,0.00012703413380305332
read,5.329842749627368e-05
by,-1.8282621200255232e-05
narrator,-2.2017742283452406e-05
from,0.00014030012478324978
cuts,-0.00010645695473202152
really,5.457659411228232e-05
dumb,6.585397351347404e-05
lost,0.0
first,0.00038047876626812703
let,4.401711856284056e-05
me,6.386293679626978e-05
say,0.00012142303624000205
not,0.0002100337301948021
without,0.00033712822667127486
some,0.000263144813473357
cool,0.0003532492764267003
shots,9.225365239401485e-05
if,0.00019387063839747953
bad,0.0001009392860360245
acting,0.0002144213020243919
sin,0.0002953606877521775
then,0.00037362287521083956
hell,0.0003305534593976522
would,8.599568113616837e-05
chucked,0.00041803351953507203
tara,0.000155744187277851
right,0.0003451753211316292
since,0.0003713077529524483
she,5.753222113602741e-05
so,0.00010376792694019463
unbelievably,0.00033307586205555287
awful,0.0004299488538234851
unthinkable,9.850794991926411e-05
which,0.0002813866578637853
brings,0.00028327113506593547
my,-0.0005201240891834905
next,-0.000660344874531742
complaint,-0.0015574973761187014
uwe,-0.0002694465886901108
boll,-3.231755224469167e-05
shows,0.0002948278302365142
worst,-0.000300241716898755
directing,-0.00011808187263282342
skills,-1.7719744570767716e-05
you,0.00013364362396825434
ever,0.00011117771631613779
mean,-8.751142594544508e-05
give,2.4335203704738363e-05
house,6.702219192220637e-05
dead,0.00010913136128282307
an,5.4931255610613926e-05
f,2.5245844995259375e-05
do,8.271494044371682e-05
few,1.6737783808414208e-06
movies,-8.672938934602346e-05
hotd,5.82920640202946e-05
score,0.000217805844404986
least,6.347211441809584e-06
b,-7.8369174660944e-05
compared,-0.00018298691004604284
screwed,-0.0003570852891397709
up,-0.00014950272800722005
piece,-0.0002133714490280976
junk,-0.00028359799289199444
apparently,0.00014128201222641626
did,-7.861282637167921e-05
realize,0.00012373010178567042
although,6.275291704782419e-06
he,-1.9318851685117214e-05
seem,-2.6778770198247356e-05
think,0.00014413957441745316
took,3.936399323927365e-06
her,-2.119467400322563e-05
shirt,-8.489143478644896e-05
people,-0.00013285559333759515
could,-0.0001576646049321447
tell,-0.00036164021177186294
laugh,0.0
still,0.0
stupid,0.0
earrings,0.0
switch,0.0
colors,0.0
middle,4.266674040519143e-05
after,0.00025425482251063597
walks,0.0
away,0.0
comrade,0.0
can,0.0001326382461970644
begin,0.0
get,0.0
about,0.0
old,0.00016066044240432476
tribe,0.0
releasing,0.0
darkness,0.0
someone,0.0
evil,0.0
monsters,4.5092606920060624e-05
pop,0.0
on,0.00025058384645230747
dvd,0.00023280686497534098
bought,0.00010319420673283453
hoping,0.0
incredibly,0.0
seeing,0.00027955768190982607
understand,0.00025401358388101356
bother,0.0
checking,0.0
mistakes,0.0
nice,0.00014548171001694447
shot,0.00012792506028960459
beginning,0.0003071838773977371
bullet,0.000251351948705277
being,0.0002480119079824695
fired,0.0002288811722763081
inside,0.00023609067944137547
gun,9.30810973929425e-05
thought,0.0003053625487085765
neat,0.00018892492597998988
just,2.7337229490635485e-05
excuse,0.0
have,0.0
lot,0.0
scenes,0.0
technology,0.0
advanced,0.0
here,0.0
no,0.0
character,-9.9074348297806e-06
needs,0.0
reload,0.0
quite,0.0
simply,0.0
boring,0.0
huh,0.0
way,0.00019139133649976732
die,0.0002185584645495591
sort,0.00022144510214929842
look,0.000188846806189939
gets,0.0002425115620877624
time,0.00016786905838566996
start,0.00011977866166892458
thing,-1.7551940851764436e-05
making,-9.128525123724569e-05
absolute,0.000149324879071603
wrong,0.00012681061319076708
moment,2.2664574223924932e-07
made,-0.0004179741850612575
even,-0.0002675381702125778
more,-0.0004501315618149894
hilariously,-0.0001764464463057283
sheer,0.0002497070948134539
attention,0.00017944582171949158
getting,0.00016592306794631327
possible,8.854694150990245e-05
comes,0.00016353428090578668
back,9.801410100692544e-05
shooting,2.5386518066735785e-05
everywhere,2.5386518066735785e-05
suddenly,2.5386518066735785e-05
entire,2.5386518066735785e-05
army,2.5386518066735785e-05
has,2.5386518066735785e-05
joined,2.5386518066735785e-05
them,2.5386518066735785e-05
now,0.00012812873380626727
played,0.00012971964452553994
headed,-9.896854110345315e-05
sex,2.0225451751928912e-05
toy,-7.032255207530325e-05
maybe,0.00011758125992000673
might,-1.7614514456256347e-05
be,3.713183027921525e-05
able,0.00011497096006028711
forgive,-0.00014696084138600868
treats,-2.3486800809341628e-05
roles,0.00031352805564075284
plays,0.00024174900026722847
curator,0.0002274030175158241
